client_id,first_name,last_name,gender,country,username,email,phone_number,status
1,Camila,Rodríguez,F,Curicó,camila_rodrguez_1,camila.rodrguez1@example.com,+56 9 68952913,inactive
2,Benjamín,Rodríguez,M,Valparaiso,benjamn_rodrguez_2,benjamn.rodrguez2@example.com,+56 9 68402486,active
3,Andrés,López,M,Linares,andrs_lpez_3,andrs.lpez3@example.com,+56 9 51616086,active
4,Pedro,Rojas,M,Santiago,pedro_rojas_4,pedro.rojas4@example.com,+56 9 20758603,inactive
5,Fernanda,Morales,F,Parral,fernanda_morales_5,fernanda.morales5@example.com,+56 9 65123733,inactive
6,María,Herrera,F,Puerto Montt,mara_herrera_6,mara.herrera6@example.com,+56 9 64043688,active
7,María,Navarro,F,Puerto Montt,mara_navarro_7,mara.navarro7@example.com,+56 9 31436481,active
8,Carlos,Herrera,M,San Fernando,carlos_herrera_8,carlos.herrera8@example.com,+56 9 83096318,active
9,Josefa,Silva,F,Santiago,josefa_silva_9,josefa.silva9@example.com,+56 9 25285758,inactive
10,Antonia,Díaz,F,Talca,antonia_daz_10,antonia.daz10@example.com,+56 9 62785091,inactive
11,Fernanda,Muñoz,F,Curicó,fernanda_muoz_11,fernanda.muoz11@example.com,+56 9 89754791,inactive
12,Fernanda,Navarro,F,Parral,fernanda_navarro_12,fernanda.navarro12@example.com,+56 9 46355697,active
13,Luis,Pérez,M,Curicó,luis_prez_13,luis.prez13@example.com,+56 9 48830403,active
14,Jorge,Pérez,M,Puerto Montt,jorge_prez_14,jorge.prez14@example.com,+56 9 52507052,active
15,María,Flores,F,Puerto Montt,mara_flores_15,mara.flores15@example.com,+56 9 06524073,inactive
16,Valentina,Torres,F,Valparaiso,valentina_torres_16,valentina.torres16@example.com,+56 9 84741724,active
17,Jorge,Reyes,M,Viña del Mar,jorge_reyes_17,jorge.reyes17@example.com,+56 9 34664604,active
18,Pedro,Morales,M,Viña del Mar,pedro_morales_18,pedro.morales18@example.com,+56 9 45732468,active
19,Sebastián,Romero,M,Santiago,sebastin_romero_19,sebastin.romero19@example.com,+56 9 27929161,inactive
20,Sebastián,Pérez,M,Santiago,sebastin_prez_20,sebastin.prez20@example.com,+56 9 82235637,inactive
21,Florencia,Romero,F,Valparaiso,florencia_romero_21,florencia.romero21@example.com,+56 9 46805222,active
22,Camila,Flores,F,San Fernando,camila_flores_22,camila.flores22@example.com,+56 9 64210621,inactive
23,Isidora,Rojas,F,Santiago,isidora_rojas_23,isidora.rojas23@example.com,+56 9 19476858,inactive
24,Antonia,Silva,F,Viña del Mar,antonia_silva_24,antonia.silva24@example.com,+56 9 23813432,inactive
25,Camila,Rodríguez,F,Parral,camila_rodrguez_25,camila.rodrguez25@example.com,+56 9 93585972,active
26,María,Reyes,F,Curicó,mara_reyes_26,mara.reyes26@example.com,+56 9 15781054,inactive
27,Ignacio,González,M,Parral,ignacio_gonzlez_27,ignacio.gonzlez27@example.com,+56 9 16721498,inactive
28,Josefa,Flores,F,Linares,josefa_flores_28,josefa.flores28@example.com,+56 9 26883814,inactive
29,Carlos,López,M,Puerto Montt,carlos_lpez_29,carlos.lpez29@example.com,+56 9 71133014,active
30,Florencia,Díaz,F,Puerto Montt,florencia_daz_30,florencia.daz30@example.com,+56 9 95934030,active
31,Jorge,Pérez,M,Talca,jorge_prez_31,jorge.prez31@example.com,+56 9 15622202,inactive
32,Diego,Reyes,M,Puerto Montt,diego_reyes_32,diego.reyes32@example.com,+56 9 34429221,active
33,Camila,Romero,F,Viña del Mar,camila_romero_33,camila.romero33@example.com,+56 9 49218016,inactive
34,María,Muñoz,F,Curicó,mara_muoz_34,mara.muoz34@example.com,+56 9 67128103,inactive
35,Josefa,Morales,F,Valparaiso,josefa_morales_35,josefa.morales35@example.com,+56 9 16878198,inactive
36,Luis,Díaz,M,Linares,luis_daz_36,luis.daz36@example.com,+56 9 02355364,active
37,Jorge,Pérez,M,Parral,jorge_prez_37,jorge.prez37@example.com,+56 9 66055848,active
38,Benjamín,Rodríguez,M,Curicó,benjamn_rodrguez_38,benjamn.rodrguez38@example.com,+56 9 30315183,active
39,Valentina,Muñoz,F,Puerto Montt,valentina_muoz_39,valentina.muoz39@example.com,+56 9 96082232,active
40,Matías,Rojas,M,Curicó,matas_rojas_40,matas.rojas40@example.com,+56 9 70215140,active
41,Isidora,Morales,F,Rancagua,isidora_morales_41,isidora.morales41@example.com,+56 9 81191509,active
42,Diego,Ortega,M,Santiago,diego_ortega_42,diego.ortega42@example.com,+56 9 86286392,inactive
43,Josefa,Muñoz,F,Parral,josefa_muoz_43,josefa.muoz43@example.com,+56 9 65871932,inactive
44,Carlos,Rojas,M,Valparaiso,carlos_rojas_44,carlos.rojas44@example.com,+56 9 65371282,active
45,Fernanda,Sánchez,F,Puerto Montt,fernanda_snchez_45,fernanda.snchez45@example.com,+56 9 63090517,active
46,Isidora,Rodríguez,F,Puerto Montt,isidora_rodrguez_46,isidora.rodrguez46@example.com,+56 9 25309327,active
47,Antonia,Torres,F,Curicó,antonia_torres_47,antonia.torres47@example.com,+56 9 31871003,active
48,Diego,Flores,M,Linares,diego_flores_48,diego.flores48@example.com,+56 9 01288557,active
49,Ignacio,Flores,M,Curicó,ignacio_flores_49,ignacio.flores49@example.com,+56 9 00106893,inactive
50,Carlos,Pérez,M,Linares,carlos_prez_50,carlos.prez50@example.com,+56 9 06027928,inactive
51,Josefa,Pérez,F,Rancagua,josefa_prez_51,josefa.prez51@example.com,+56 9 67711939,active
52,Carlos,Navarro,M,San Fernando,carlos_navarro_52,carlos.navarro52@example.com,+56 9 53180494,inactive
53,Sebastián,Díaz,M,Rancagua,sebastin_daz_53,sebastin.daz53@example.com,+56 9 54709123,inactive
54,Camila,Herrera,F,Santiago,camila_herrera_54,camila.herrera54@example.com,+56 9 80173784,active
55,Antonia,Rojas,F,Linares,antonia_rojas_55,antonia.rojas55@example.com,+56 9 07341369,active
56,Andrés,Torres,M,San Fernando,andrs_torres_56,andrs.torres56@example.com,+56 9 34781906,inactive
57,Antonia,Silva,F,Puerto Montt,antonia_silva_57,antonia.silva57@example.com,+56 9 43489032,inactive
58,Benjamín,Muñoz,M,Talca,benjamn_muoz_58,benjamn.muoz58@example.com,+56 9 38216607,inactive
59,Carlos,Navarro,M,Viña del Mar,carlos_navarro_59,carlos.navarro59@example.com,+56 9 45163372,inactive
60,Florencia,Romero,F,Linares,florencia_romero_60,florencia.romero60@example.com,+56 9 34230844,active
61,Fernanda,Morales,F,Viña del Mar,fernanda_morales_61,fernanda.morales61@example.com,+56 9 13006850,inactive
62,Diego,Fuentes,M,Talca,diego_fuentes_62,diego.fuentes62@example.com,+56 9 09747336,inactive
63,Andrés,Castro,M,Viña del Mar,andrs_castro_63,andrs.castro63@example.com,+56 9 68141464,active
64,Isidora,Pérez,F,Valparaiso,isidora_prez_64,isidora.prez64@example.com,+56 9 12713168,inactive
65,Fernanda,Castro,F,Curicó,fernanda_castro_65,fernanda.castro65@example.com,+56 9 75084123,active
66,Sebastián,Navarro,M,Parral,sebastin_navarro_66,sebastin.navarro66@example.com,+56 9 14429816,inactive
67,María,Vargas,F,Curicó,mara_vargas_67,mara.vargas67@example.com,+56 9 23061742,active
68,Fernanda,González,F,San Fernando,fernanda_gonzlez_68,fernanda.gonzlez68@example.com,+56 9 09568595,active
69,Andrés,López,M,Parral,andrs_lpez_69,andrs.lpez69@example.com,+56 9 95270723,inactive
70,Josefa,Navarro,F,Puerto Montt,josefa_navarro_70,josefa.navarro70@example.com,+56 9 92538332,active
71,Diego,López,M,Viña del Mar,diego_lpez_71,diego.lpez71@example.com,+56 9 80708905,inactive
72,Valentina,Vargas,F,Parral,valentina_vargas_72,valentina.vargas72@example.com,+56 9 29762652,inactive
73,Camila,Silva,F,Talca,camila_silva_73,camila.silva73@example.com,+56 9 39816438,inactive
74,Sebastián,González,M,Parral,sebastin_gonzlez_74,sebastin.gonzlez74@example.com,+56 9 69777282,active
75,Josefa,Sánchez,F,Curicó,josefa_snchez_75,josefa.snchez75@example.com,+56 9 05345485,inactive
76,Benjamín,Silva,M,Viña del Mar,benjamn_silva_76,benjamn.silva76@example.com,+56 9 17177864,active
77,Antonia,Morales,F,Curicó,antonia_morales_77,antonia.morales77@example.com,+56 9 88880187,inactive
78,Sebastián,Muñoz,M,Talca,sebastin_muoz_78,sebastin.muoz78@example.com,+56 9 19383768,inactive
79,Camila,Ortega,F,Linares,camila_ortega_79,camila.ortega79@example.com,+56 9 48699317,active
80,Florencia,Herrera,F,Curicó,florencia_herrera_80,florencia.herrera80@example.com,+56 9 24491823,active
81,Carlos,Rojas,M,San Fernando,carlos_rojas_81,carlos.rojas81@example.com,+56 9 24035437,inactive
82,Jorge,Navarro,M,Talca,jorge_navarro_82,jorge.navarro82@example.com,+56 9 38410678,active
83,Sebastián,Morales,M,Santiago,sebastin_morales_83,sebastin.morales83@example.com,+56 9 32141401,inactive
84,Catalina,Navarro,F,Curicó,catalina_navarro_84,catalina.navarro84@example.com,+56 9 36833801,active
85,Pedro,Díaz,M,Rancagua,pedro_daz_85,pedro.daz85@example.com,+56 9 01406562,inactive
86,Antonia,Herrera,F,San Fernando,antonia_herrera_86,antonia.herrera86@example.com,+56 9 63287200,inactive
87,Fernanda,Fuentes,F,Parral,fernanda_fuentes_87,fernanda.fuentes87@example.com,+56 9 18098644,active
88,Isidora,Navarro,F,Curicó,isidora_navarro_88,isidora.navarro88@example.com,+56 9 60448382,active
89,Andrés,Rojas,M,Puerto Montt,andrs_rojas_89,andrs.rojas89@example.com,+56 9 06996271,active
90,Valentina,Romero,F,San Fernando,valentina_romero_90,valentina.romero90@example.com,+56 9 81406963,inactive
91,Florencia,Reyes,F,Parral,florencia_reyes_91,florencia.reyes91@example.com,+56 9 60516398,active
92,Matías,Silva,M,San Fernando,matas_silva_92,matas.silva92@example.com,+56 9 62495971,active
93,Antonia,Flores,F,Puerto Montt,antonia_flores_93,antonia.flores93@example.com,+56 9 95203678,active
94,Antonia,Pérez,F,Talca,antonia_prez_94,antonia.prez94@example.com,+56 9 57112671,inactive
95,Valentina,Reyes,F,Parral,valentina_reyes_95,valentina.reyes95@example.com,+56 9 17971732,inactive
96,Antonia,Fuentes,F,Parral,antonia_fuentes_96,antonia.fuentes96@example.com,+56 9 34606416,active
97,Sebastián,Pérez,M,Linares,sebastin_prez_97,sebastin.prez97@example.com,+56 9 32975473,inactive
98,Daniela,Vargas,F,Viña del Mar,daniela_vargas_98,daniela.vargas98@example.com,+56 9 58683981,active
99,Jorge,Herrera,M,Curicó,jorge_herrera_99,jorge.herrera99@example.com,+56 9 28292097,active
100,Camila,Reyes,F,Viña del Mar,camila_reyes_100,camila.reyes100@example.com,+56 9 09243391,inactive
101,Daniela,Sánchez,F,Talca,daniela_snchez_101,daniela.snchez101@example.com,+56 9 49264378,inactive
102,Camila,Castro,F,Curicó,camila_castro_102,camila.castro102@example.com,+56 9 01290034,inactive
103,Camila,Rodríguez,F,Puerto Montt,camila_rodrguez_103,camila.rodrguez103@example.com,+56 9 34681354,inactive
104,Sebastián,Morales,M,Viña del Mar,sebastin_morales_104,sebastin.morales104@example.com,+56 9 25754535,active
105,Daniela,Rojas,F,Parral,daniela_rojas_105,daniela.rojas105@example.com,+56 9 76022624,active
106,Diego,Pérez,M,Curicó,diego_prez_106,diego.prez106@example.com,+56 9 18752701,inactive
107,Diego,Herrera,M,Puerto Montt,diego_herrera_107,diego.herrera107@example.com,+56 9 68645481,active
108,Luis,Morales,M,Parral,luis_morales_108,luis.morales108@example.com,+56 9 81311350,inactive
109,Pedro,Díaz,M,Curicó,pedro_daz_109,pedro.daz109@example.com,+56 9 23907993,inactive
110,Benjamín,Rojas,M,Santiago,benjamn_rojas_110,benjamn.rojas110@example.com,+56 9 96674689,active
111,Sebastián,Sánchez,M,Curicó,sebastin_snchez_111,sebastin.snchez111@example.com,+56 9 64710670,active
112,Catalina,González,F,Viña del Mar,catalina_gonzlez_112,catalina.gonzlez112@example.com,+56 9 82505777,active
113,María,Díaz,F,Valparaiso,mara_daz_113,mara.daz113@example.com,+56 9 42722406,inactive
114,Fernanda,Torres,F,Rancagua,fernanda_torres_114,fernanda.torres114@example.com,+56 9 05082474,inactive
115,Luis,Castro,M,Puerto Montt,luis_castro_115,luis.castro115@example.com,+56 9 29678496,inactive
116,Josefa,Rodríguez,F,Santiago,josefa_rodrguez_116,josefa.rodrguez116@example.com,+56 9 53183382,inactive
117,Catalina,Vargas,F,Talca,catalina_vargas_117,catalina.vargas117@example.com,+56 9 41530756,inactive
118,Florencia,Reyes,F,Puerto Montt,florencia_reyes_118,florencia.reyes118@example.com,+56 9 53756703,inactive
119,Luis,Rodríguez,M,Puerto Montt,luis_rodrguez_119,luis.rodrguez119@example.com,+56 9 55000043,active
120,Luis,Torres,M,San Fernando,luis_torres_120,luis.torres120@example.com,+56 9 03181936,active
121,Diego,Torres,M,Talca,diego_torres_121,diego.torres121@example.com,+56 9 17245785,inactive
122,María,Pérez,F,Puerto Montt,mara_prez_122,mara.prez122@example.com,+56 9 85618614,active
123,Carlos,Herrera,M,Talca,carlos_herrera_123,carlos.herrera123@example.com,+56 9 54961153,active
124,Luis,Morales,M,San Fernando,luis_morales_124,luis.morales124@example.com,+56 9 63091796,active
125,Benjamín,Silva,M,Viña del Mar,benjamn_silva_125,benjamn.silva125@example.com,+56 9 21119592,inactive
126,Andrés,Vargas,M,Viña del Mar,andrs_vargas_126,andrs.vargas126@example.com,+56 9 88852139,active
